COMUNE     LIVELLO    ESITO    TEMPO     NOTE
037045     K6C        ok       7s        tier 0 su comune
033024     K6C        ok       6s        tier 0 su comune
037016     K6C        ok       9s        tier 0 su comune
039018     K6C        ok       5s        tier 0 su comune
035043     K6C        ok       6s        tier 0 su comune
036017     K6C        ok       6s        tier 0 su comune
033045     K6C        ok       6s        tier 0 su comune
040022     K6C        ok       9s        tier 0 su comune
037051     K6C        ok       6s        tier 0 su comune
036001     K6C        ok       6s        tier 0 su comune
035041     K6C        ok       6s        tier 0 su comune
035035     K6C        ok       6s        tier 0 su comune
040043     K6C        ok       6s        tier 0 su comune
037031     K6C        ok       9s        tier 0 su comune
037040     K6C        ok       6s        tier 0 su comune
033026     K6C        ok       6s        tier 0 su comune
035011     K6C        ok       6s        tier 0 su comune
036033     K6C        ok       6s        tier 0 su comune
035046     K6C        ok       9s        tier 0 su comune
035018     K6C        ok       6s        tier 0 su comune
040009     K6C        ok       6s        tier 0 su comune
038023     K6C        ok       5s        tier 0 su comune
036038     K6C        ok       6s        tier 0 su comune
040037     K6C        ok       6s        tier 0 su comune
035045     K6C        ok       9s        tier 0 su comune
035044     K6C        ok       6s        tier 0 su comune
034024     K6C        ok       6s        tier 0 su comune
036004     K6C        ok       6s        tier 0 su comune
036026     K6C        ok       6s        tier 0 su comune
037012     K6C        ok       9s        tier 0 su comune
038025     K6C        ok       6s        tier 0 su comune
037015     K6C        ok       6s        tier 0 su comune
033005     K6C        ok       6s        tier 0 su comune
040044     K6C        ok       5s        tier 0 su comune
099015     K6C        ok       6s        tier 0 su comune
035003     K6C        ok       9s        tier 0 su comune
037007     K6C        ok       6s        tier 0 su comune
040046     K6C        ok       6s        tier 0 su comune
034050     K6C        ok       5s        tier 0 su comune
033042     K6C        ok       6s        tier 0 su comune
034003     K6C        ok       9s        tier 0 su comune

log in /home/mirko/progetti/gsp/log/rigenera_20260902_1237
234 completati, 0 falliti

--- verifica combinazioni impossibili ---
  015146  Milano                10 su 1,371,499  (44 colonne)
  017029  Brescia                0 su   198,259  (44 colonne)
  020030  Mantova                0 su    49,044  (41 colonne)
  033002  Alseno                 0 su     4,728  (41 colonne)
  033005  Bobbio                 0 su     3,412  (41 colonne)
  033006  Borgonovo Val Tido     0 su     8,227  (41 colonne)
  033007  Cadeo                  0 su     6,003  (41 colonne)
  033010  Caorso                 0 su     4,767  (41 colonne)
  033011  Carpaneto Piacenti     0 su     7,717  (41 colonne)
  033012  Castell'Arquato        0 su     4,664  (41 colonne)
  033013  Castel San Giovann     0 su    14,139  (41 colonne)
  033014  Castelvetro Piacen     0 su     5,336  (41 colonne)
  033018  Cortemaggiore          0 su     4,640  (41 colonne)
  033021  Fiorenzuola d'Arda     0 su    14,943  (41 colonne)
  033023  Gossolengo             0 su     5,700  (41 colonne)
  033024  Gragnano Trebbiens     0 su     4,573  (41 colonne)
  033026  Lugagnano Val d'Ar     0 su     3,928  (41 colonne)
  033027  Monticelli d'Ongin     0 su     5,170  (41 colonne)
  033032  Piacenza               0 su   102,887  (44 colonne)
  033035  Podenzano              0 su     9,086  (41 colonne)
  033036  Ponte dell'Olio        0 su     4,672  (41 colonne)
  033037  Pontenure              0 su     6,628  (41 colonne)
  033038  Rivergaro              0 su     7,121  (41 colonne)
  033039  Rottofreno             0 su    12,286  (41 colonne)
  033040  San Giorgio Piacen     0 su     5,559  (41 colonne)
  033042  Sarmato                0 su     2,931  (41 colonne)
  033044  Vernasca               0 su     2,014  (41 colonne)
  033045  Vigolzone              0 su     4,162  (41 colonne)
