n,variabile,descrizione
185,TABNB,usa anche solo saltuariamente dispositivi a tabacco riscaldato non bruciato
186,SALUTE,oms Come va in generale la sua salute?
187,CRONI,Il termine lunga durata si riferisce a malattie o problemi di salute che durano da almeno 6 mes
188,LIMITA,"A causa di problemi di salute, in che misura lei ha delle limitazioni, che durano da almeno 6 m"
189,DIAB,Affetto da malattia cronica: diabete
190,IPAR,Affetto da malattia cronica: ipertensione arteriosa
191,INFAR,Affetto da malattia cronica: infarto del miocardio
192,CUORE,Affetto da malattia cronica: angina pectoris o altre malattie del cuore
193,BRON,"Affetto da malattia cronica: bronchite cronica, enfisema, insufficienza respiratoria"
194,ASMA,Affetto da malattia cronica: asma bronchiale
195,ALLER,Affetto da malattia cronica: malattie allergiche
196,TUMOR,Affetto da malattia cronica: tumore (incluso linfoma e leucemia)
197,ULCER,Affetto da malattia cronica: ulcera gastrica e duodenale
198,FEGATO,Affetto da malattia cronica: calcolosi del fegato o delle vie biliari
199,CIRRO,Affetto da malattia cronica: cirrosi epatica
200,CALRE,Affetto da malattia cronica: calcolosi renale
201,ARTRO,"Affetto da malattia cronica: artrosi, artrite"
202,OSTEO,Affetto da malattia cronica: osteoporosi
203,ICTUS,ictus
204,DEPRES,depressione
205,SF9,Per quanto tempo nelle ultime 4 settimane si ï¿½ sentito calmo e/o sereno
206,SF11,Per quanto tempo nelle ultime 4 settimane si ï¿½ sentito scoraggiato e triste
207,SF13,Per quanto tempo nelle ultime 4 settimane si ï¿½ sentito molto agitato
208,SF14,Per quanto tempo nelle ultime 4 settimane si ï¿½ sentito giï¿½ di morale
209,SF15,Per quanto tempo nelle ultime 4 settimane si ï¿½ sentito felice
210,RADIO,Ha l'abitudine di ascoltare la radio?
211,HHRAD,99=non so Ore di ascolto della radio al giorno
212,MMRAD,99=non so Minuti di ascolto della radio al giorno
213,TELE,Ha l'abitudine di guardare la tv?
214,HHTEL,99=non so Per quante ore guarda la televisione
215,MMTEL,99=non so Per quanti minuti guarda la televisione
216,FREQSERIE,99=non so frequenza serie tv
217,BIBLIO,biblioteca negli ultimi 12 mesi
218,NUMBIBM,ricostruita quante volte si ï¿½ recato in biblioteca negli ultimi 12 mesi? num.
219,BIBLIO1,"in biblioteca per: raccogliere informazioni (generali, bibliografiche, ecc.)"
220,BIBLIO2,in biblioteca per: consultare cataloghi
221,BIBLIO3,"in biblioteca per: consultare quotidiani, riviste, altro materiale stampato"
222,BIBLIO4,"in biblioteca per: leggere, studiare"
223,BIBLIO5,in biblioteca per: prendere in prestito libri
224,BIBLIO6,in biblioteca per: prendere in prestito materiale audio-visivo
225,BIBLIO7,"in biblioteca per: partecipare a lezioni, corsi, ecc."
226,BIBLIO8,"in biblioteca per: avere aiuto o assistenza nel fare i compiti, scrivere curriculum, compilare"
227,BIBLIO9,"in biblioteca per: partecipare a conferenze, dibattiti, mostre, ecc."
228,BIBLIO10,"in biblioteca per: assistere a concerti, proiezioni di filmati, ecc."
229,BIBLIO11,in biblioteca per: assistere a presentazioni di libri
230,BIBLIO12,in biblioteca per: navigare su Internet
231,BIBLIO13,in biblioteca per: incontrare gli amici
232,BIBLIO14,in biblioteca per: partecipare a letture animate ad alta voce
233,BIBLIO15,"in biblioteca per: partecipare a laboratori (teatrali, musicali, ecc.)"
234,BIBALTC,in biblioteca per: altro (codice)
235,BIBONLINE,Negli ultimi 12 mesi si ï¿½ mai collegato online al sito di una biblioteca per consultare catal
236,TEATRO,Frequenza con cui negli ultimi 12 mesi ï¿½ andato a teatro?
237,CINE,Frequenza con cui negli ultimi 12 mesi ï¿½ andato a cinema?
238,MUSEO,Frequenza con cui negli ultimi 12 mesi ï¿½ andato a musei o mostre?
239,MUSIC,Frequenza con cui negli ultimi 12 mesi ï¿½ andato a concerti di musica classica?
240,ACMUS,Frequenza con cui negli ultimi 12 mesi ï¿½ andato ad altri concerti di musica?
241,SPSPO,Frequenza con cui negli ultimi 12 mesi ï¿½ andato a spettacoli sportivi?
242,DISCO,"Frequenza con cui negli ultimi 12 mesi ï¿½ andato in discoteche, balere, night club o altri luo"
243,MONUM,"Frequenza con cui negli ultimi 12 mesi ï¿½ andato in siti archeologici, monumenti?"
244,INTTEMPO,Lei ha mai usato Internet?
245,FREQIN12,Frequenza d'uso di Internet negli ultimi 12 mesi
246,FREQ_GG,utilizzo di Internet piï¿½ volte al giorno
247,INCOMU5,negli ultimi 3 mesi ha spedito o ricevuto mail
248,INCOMU1B,Negli ultimi 3 mesi ha telefonato/effettuato videochiamate
249,INCOMU4AGG,"ricostruita Negli ultimi 3 mesi ha usato messaggeria istantanea (es. Whatsapp, Skype, Viber, Me"
250,INCOMU6,"negli ultimi 3 mesi ha partecipato a social network (creare un profilo utente, postare messaggi"
251,INCOMU7,negli ultimi 3 mesi ha espresso opinioni su temi sociali o politici su web (ad esempio tramite
252,INCOMU8,negli ultimi 3 mesi ha partecipato a consultazioni o votazioni online su temi sociali (civici)
253,INTATT8,"negli ultimi 3 mesi ha letto giornali, informazioni, riviste online"
254,INTATT31,negli ultimi 3 mesi ha letto o scaricato libri online o e_book
255,INTATT32,Negli ultimi 3 mesi ascoltare la musica
256,INTATT7BN,Negli ultimi 3 mesi ha guardato programmi televisivi streaming
257,INTATT30A,Negli ultimi 3 mesi ha guardato film o serie tv in streaming
258,INTATT30B,"Negli ultimi 3 mesi ha guardato contenuti video da servizi di condivisione (es. Youtube, Istagr"
259,INTATT28B,Negli ultimi 3 mesi ha giocato o scaricato giochi
260,INTATT14,negli ultimi 3 mesi ha cercato informazioni sanitarie
261,INTSAL3,Negli ultimi 3 mesi ha preso un appuntamento con un medico
262,INTFASC,Negli ultimi 3 mesi ha acceduto al fascicolo sanitario elettronico
263,INTALTSAL,Negli ultimi 3 mesi ha utilizzato altri servizi sanitari
264,INTATT11,negli ultimi 3 mesi ha usato servizi bancari via Internet
265,INTATT13,negli ultimi 3 mesi ha venduto merci o servizi
266,INTATT16,negli ultimi 3 mesi ha cercato informazioni su merci o servizi
