cognome,frequenza
GIANASSI,95
TIRINNANZI,95
BORGHI,95
CALOSI,95
FORTINI,94
NDIAYE,94
PANDOLFI,94
NARDINI,94
PALMIERI,94
SCARSELLI,94
BARTOLONI,94
CORTINI,93
MANGANI,93
TACCONI,93
TARCHIANI,93
D'ANGELO,92
LUPI,92
LISI,92
PETRI,92
ZECCHI,92
BONCINELLI,92
CAMMELLI,92
FALORNI,91
DE SIMONE,91
GERI,91
IGNESTI,91
MADIAI,91
MARILLI,91
PALADINI,91
SALIMBENI,91
BONGINI,91
CIOLLI,90
CIABATTI,90
FISSI,90
MEONI,90
MICCINESI,90
PARRI,90
PICCARDI,90
VANNUCCHI,90
VINCI,90
BIGI,90
BALLINI,90
BONANNI,90
DE ANGELIS,89
DEGLI INNOCENTI,89
DUCCI,89
FRANCESCHI,89
MENICHETTI,89
RAFFAELLI,89
TILLI,89
CACIOLLI,89
AGRESTI,89
BIANCO,89
CHECCHI,88
DIOP,88
GIACHETTI,88
LU,88
LUNGHI,88
GARUGLIERI,88
MERLINI,88
PASSERI,88
RANIERI,88
CIUFFI,87
CELLI,87
GRASSO,87
ORTOLANI,87
ROCCHINI,87
SANNA,87
BATACCHI,87
BARDELLI,87
LORENZINI,86
LIVI,86
HE,86
MANFREDI,86
SENESI,86
XU,86
ALESSI,86
BUSSOTTI,86
FILIPPI,85
MAGINI,85
PAGANO,85
VESTRI,85
VALENTE,85
VICHI,85
BRAZZINI,85
BORGIOLI,85
CESARI,84
MAURO,84
SODI,84
CAPANNI,84
CHECCACCI,83
JIN,83
LORENZI,83
PETRUCCI,83
RENAI,83
SGUANCI,83
STELLA,83
ZOPPI,83
AGLIETTI,83
BATTAGLIA,83
AIAZZI,83
ANTONINI,83
BORETTI,83
BORRI,83
COPPOLA,82
CAVICCHI,82
GRAMIGNI,82
PACCIANI,82
PETRINI,82
RADU,82
NOVELLI,82
MATTEI,82
SPINA,82
TERZANI,82
SASSI,82
BARGELLINI,82
BRACCI,82
BURBERI,82
AHMED,82
BECUCCI,82
DE MARCO,81
FRULLINI,81
CHIARINI,81
D'ALESSANDRO,81
CHINI,81
GIANNI,81
IANDELLI,81
PALUMBO,81
MAZZETTI,81
NOFERINI,81
VENTURA,81
SORRENTINO,81
ZANOBINI,81
CALABRESE,81
BECCHI,81
ALINARI,81
CONTE,80
LATINI,80
MAZZUOLI,80
PIAZZA,80
TRAMBUSTI,80
SANTUCCI,80
BONDI,80
FACCHINI,79
FUSCO,79
GALANTI,79
MAGNANI,79
MAGNOLFI,79
NANNI,79
PETTINI,79
PANCANI,79
SERAFINI,79
BUCCIONI,79
BOCCI,79
BERNACCHIONI,79
BARTALESI,79
BARONE,79
CIANFERONI,78
CIARDI,78
FALCINI,78
CELLINI,78
FANCELLI,78
GALLORI,78
NICCOLINI,78
PANDOLFINI,78
RUGGIERO,78
DI MARCO,77
MORANDINI,77
PIETRINI,77
MASONI,77
POGGESI,77
SOTTILI,77
SARRI,77
VIGNOZZI,77
BARBETTI,77
BENSI,77
FINI,76
GIANNOTTI,76
LOPEZ,76
PIAZZINI,76
PAPUCCI,76
TAMBURINI,76
BALLI,76
CAVACIOCCHI,76
ANTONELLI,76
DUMITRU,75
GARGANI,75
LIU,75
TOFANARI,75
SIENI,75
,75
BOGANI,75
BARONTI,75
ARNETOLI,75
BURGASSI,75
ARENA,75
BELLESI,75
FIESOLI,74
FONTANA,74
DADDI,74
CONSIGLI,74
LARI,74
LAI,74
RADDI,74
ANDREONI,74
BULLI,74
BINAZZI,74
CERBAI,73
FRIZZI,73
FANELLI,73
FARINA,73
CESERI,73
LIAO,73
GAROFALO,73
ORSINI,73
VANNONI,73
TASSI,73
ZANIERI,73
BERLINCIONI,73
CAVALLARO,73
BACCANI,73
CAPUTO,73
GABELLINI,72
FOSSATI,72
CHIARAMONTI,72
GIOVACCHINI,72
MARSILI,72
MARZI,72
PERRONE,72
STADERINI,72
BORCHI,72
BAUSI,72
BARCHIELLI,72
AMMANNATI,72
BATTAGLINI,72
D'AGOSTINO,71
CIRILLO,71
COMPARINI,71
DEL LUNGO,71
MAGGINI,71
LEONARDI,71
LORINI,71
LA ROSA,71
GIANNETTI,71
PINTO,71
MORGANTI,71
PALLONI,71
MARTINO,71
ROSSINI,71
SALVESTRINI,71
BESSI,71
BUCCIARELLI,71
BELLANDI,71
CHELI,70
CHIARANTINI,70
CAVALLINI,70
FATTORI,70
FAILLI,70
LEONCINI,70
KRASNIQI,70
LINARI,70
MONACO,70
PAGNINI,70
SCALI,70
RICCIARDI,70
SORELLI,70
BORGHINI,70
CASALINI,70
CARTA,70
CURRADI,69
CIUCCHI,69
GERINI,69
MALEVOLTI,69
MONTAGNANI,69
MIGLIORI,69
MOROZZI,69
MAZZINI,69
TANGANELLI,69
RENZI,69
VICIANI,69
TESTA,69
VIGIANI,69
BIFFOLI,69
CASTAGNOLI,69
BADII,69
BERISHA,69
BARTOLETTI,69
CIAPETTI,68
CHIRICI,68
GRILLO,68
MICHELINI,68
MEACCI,68
POGGIOLINI,68
PUCCIONI,68
